"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bhutan","BTN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1529010316.69005","1522773855.35289","1592835027.19021","1624474570.00364","1704910487.95891","1825517855.36111","1927111079.64083","2030670917.14528","2150765421.33491","2322481930.82955","2400402785.50963","2600811321.47638","2886699832.15725","3112535088.29575","3299559298.76063","3540006412.38459","3787797589.79803","4483269577.18031","4698442334.64709","5015508904.3698","5614656381.87508","6062852898.98342","6373174013.78458","6508283558.72915","6884234277.35022","7341501096.72828","7938147353.08061","8307416844.22731","8561219214.89645","9053931934.19522","8147660576.37187","8480705881.72663",
"Botswana","BWA","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12294437597.3679","13211443941.9361","13596831049.9524","13857360884.0603","14360094307.4202","15369667857.9211","16265688755.7758","17619952255.7415","17698125556.5061","19409045970.2106","19794838752.2521","19844439462.9115","21048903844.103","22022603977.0623","22618496380.7758","23649141117.4096","25627124795.7345","27111590293.6383","27993278990.0529","24033843932.8925","26466599874.8672","28276526180.6034","28228201382.0472","31362328837.1883","33149029589.9053","31540972877.2423","33812496663.9376","35203223635.2295","36678180294.2431","37790482327.894","34492730418.224","38414561407.807",
"Central African Republic","CAF","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3372788348.74427","3354152242.6464","3138678879.64974","3149202106.75233","3303511416.80188","3541365743.80946","3399707821.8743","3579890161.24144","3748150095.8242","3883082558.65022","3786415841.75199","3955469427.54081","4098520648.25994","3877303602.09053","4109743464.20343","4147068586.47959","4344928771.59951","4545122879.15504","4638485655.47693","5036804498.5544","5270049769.669","5491108085.5972","5768615578.41872","3669302318.2265","3672277040.52477","3831548140.33666","4013558816.92666","4195263790.82987","4354240945.75063","4489222415.0689","4529625416.66343","4570392045.72498",
"Canada","CAN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1103842831560.95","1146850224233.18","1206061110708.21","1268506560957.02","1291212484378.08","1330181929377.08","1354145398076.47","1395947606643.09","1440676565833.59","1478628363551.64","1509227245114.99","1524434561362.8","1479793017124.4","1525511142773.05","1573517168753.84","1601246043121.22","1638541025091.36","1685567743622.64","1696678616208.21","1713669061092.82","1765762548007.76","1814798490049.67","1848909297787.49","1752155424897.43","1831718828227.94",
"Central Europe and the Baltics","CEB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1548255725003.24","1395567339861.23","1362655108535.82","1383328022225.52","1439402456389.76","1521176930702","1590312786158.23","1618387739443.6","1659760619715.4","1688582363761.34","1755023310123.87","1809768867487.68","1876358203409.55","1951732477548.37","2068935581147.82","2171815844878.94","2315015044047.72","2463201214415.16","2566337937866.08","2479438397474.25","2509565828110.57","2599570037653.25","2622651105924.21","2639820392760.8","2725563759133.35","2834401381457.57","2912772099020.89","3064491920295.82","3217578784781.18","3345487567252.42","3232433494879.71","3431824094596.99",
"Switzerland","CHE","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","382666799321.122","379162272988.291","378996453938.188","378518981340.089","383325255161.007","385168537703.426","386983760068.593","395734721505.966","407725361564.137","414504616386.803","430913692373.262","437703435536.486","437382961844.231","437241256427.958","449054243721.35","461401883702.987","480197682106.084","499004028005.635","513015979433.492","501230080470.471","517486963545.183","526869562073.944","533082691580.934","542636301357.396","555387610194.815","564521668602.207","576199870029.119","584052319305.968","600758819311.915","607619378844.652","593184996000.62","618227585306.331",
"Channel Islands","CHI","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129450154199.989","139552951918.617","155136422193.395","165358025688.024","173675861751.799","189190840335.685","202061335410.687","216997182486.559","226069588670.12","225450991293.752","236659561222.491","244123886435.852","251942684159.439","263842555068.61","281452077797.839","297880564256.474","315902311065.355","332228872189.064","344818329172.422","340963131854.242","360915104444.854","383378088027.307","406976312902.023","420441157778.133","427978193970.559","437188038616.539","444852114339.543","450891850914.83","468882568679.532","472495494473.211","444248655131.958","496084586446.688",
"China","CHN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1616385775698.95","1766108132404.2","2017328706332.62","2297409163052.26","2596917953201.1","2881383160094.42","3167290039422.85","3459845648895.8","3731303470424.53","4017182938752.65","4358245522543.24","4721537253628.6","5152785033982.12","5670023166305.25","6243467841384.38","6954885516690.4","7839613419832.07","8955257903315.75","9819501089963.92","10742409055898.1","11884957832309.2","13020070209401.8","14043934216098.3","15134607226933","16258467389918.2","17403279549490.3","18595188781695.5","19887033884254.4","21229363693442.5","22492617140021.1","22996384703776.7","24861343804329.8",
"Cote d'Ivoire","CIV","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50937874481.7271","50958720894.3319","50834095934.9333","50736247874.4883","51147823708.6766","54792487058.2846","59027577785.6992","64723054350.8178","67482784509.5669","68270214117.5389","68088759081.4029","66622118706.3151","64802984117.5577","61740481544.5414","63706939484.4176","64341502369.1396","66153087938.2469","66881717738.9175","70080446900.7831","72605670757.5721","77577742958.6872","73411471202.0486","79005727588.869","87506912263.6881","95708060030.297","102593384623.837","109958776919.581","118051344947.092","126185418257.144","134048926970.757","136701515533.298","146322513515.888",
