Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brunei Darussalam,BRN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18428919885,19008682898,19913226441,19973876727,20602134526,21524843837,22144397237,21818615160,21696756263,22358975359,22996076890,23627098557,24541962724,25254650394,25382014206,25480371341,26600926645,26642046839,26125267157,25664277533,26331283315,27317473701,27566838985,26980760126,26303987537,26200774965,25551541320,25891019750,25904544646,26906819939,27211828479,26778952921
Bhutan,BTN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1529010317,1522773855,1592835027,1624474570,1704910488,1825517855,1927111080,2030670917,2150765421,2322481931,2400402786,2600811321,2886699832,3112535088,3299559299,3540006412,3787797590,4483269577,4698442335,5015508904,5614656382,6062852899,6373174014,6508283559,6884234277,7341501097,7938147353,8307416844,8561219215,9053931934,8147660576,8480705882
Botswana,BWA,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12294437597,13211443942,13596831050,13857360884,14360094307,15369667858,16265688756,17619952256,17698125557,19409045970,19794838752,19844439463,21048903844,22022603977,22618496381,23649141117,25627124796,27111590294,27993278990,24033843933,26466599875,28276526181,28228201382,31362328837,33149029590,31540972877,33812496664,35203223635,36678180294,37790482328,34492730418,38414561408
Central African Republic,CAF,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3372788349,3354152243,3138678880,3149202107,3303511417,3541365744,3399707822,3579890161,3748150096,3883082559,3786415842,3955469428,4098520648,3877303602,4109743464,4147068586,4344928772,4545122879,4638485655,5036804499,5270049770,5491108086,5768615578,3669302318,3672277041,3831548140,4013558817,4195263791,4354240946,4489222415,4529625417,4570392046
Canada,CAN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10384E+12,1.14685E+12,1.20606E+12,1.26851E+12,1.29121E+12,1.33018E+12,1.35415E+12,1.39595E+12,1.44068E+12,1.47863E+12,1.50923E+12,1.52443E+12,1.47979E+12,1.52551E+12,1.57352E+12,1.60125E+12,1.63854E+12,1.68557E+12,1.69668E+12,1.71367E+12,1.76576E+12,1.8148E+12,1.84891E+12,1.75216E+12,1.83172E+12
Central Europe and the Baltics,CEB,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54826E+12,1.39557E+12,1.36266E+12,1.38333E+12,1.4394E+12,1.52118E+12,1.59031E+12,1.61839E+12,1.65976E+12,1.68858E+12,1.75502E+12,1.80977E+12,1.87636E+12,1.95173E+12,2.06894E+12,2.17182E+12,2.31502E+12,2.4632E+12,2.56634E+12,2.47944E+12,2.50957E+12,2.59957E+12,2.62265E+12,2.63982E+12,2.72556E+12,2.8344E+12,2.91277E+12,3.06449E+12,3.21758E+12,3.34549E+12,3.23243E+12,3.43182E+12
Switzerland,CHE,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.82667E+11,3.79162E+11,3.78996E+11,3.78519E+11,3.83325E+11,3.85169E+11,3.86984E+11,3.95735E+11,4.07725E+11,4.14505E+11,4.30914E+11,4.37703E+11,4.37383E+11,4.37241E+11,4.49054E+11,4.61402E+11,4.80198E+11,4.99004E+11,5.13016E+11,5.0123E+11,5.17487E+11,5.2687E+11,5.33083E+11,5.42636E+11,5.55388E+11,5.64522E+11,5.762E+11,5.84052E+11,6.00759E+11,6.07619E+11,5.93185E+11,6.18228E+11
Channel Islands,CHI,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2945E+11,1.39553E+11,1.55136E+11,1.65358E+11,1.73676E+11,1.89191E+11,2.02061E+11,2.16997E+11,2.2607E+11,2.25451E+11,2.3666E+11,2.44124E+11,2.51943E+11,2.63843E+11,2.81452E+11,2.97881E+11,3.15902E+11,3.32229E+11,3.44818E+11,3.40963E+11,3.60915E+11,3.83378E+11,4.06976E+11,4.20441E+11,4.27978E+11,4.37188E+11,4.44852E+11,4.50892E+11,4.68883E+11,4.72495E+11,4.44249E+11,4.96085E+11
China,CHN,"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61639E+12,1.76611E+12,2.01733E+12,2.29741E+12,2.59692E+12,2.88138E+12,3.16729E+12,3.45985E+12,3.7313E+12,4.01718E+12,4.35825E+12,4.72154E+12,5.15279E+12,5.67002E+12,6.24347E+12,6.95489E+12,7.83961E+12,8.95526E+12,9.8195E+12,1.07424E+13,1.1885E+13,1.30201E+13,1.40439E+13,1.51346E+13,1.62585E+13,1.74033E+13,1.85952E+13,1.9887E+13,2.12294E+13,2.24926E+13,2.29964E+13,2.48613E+13
